age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
30;0;0;0;0;0;0;0;0;0;487;2;999;0;0;-1.8;92.893;-46.2;1.313;5099.1;0
39;1;1;1;0;1;0;1;0;0;346;4;999;0;0;1.1;93.994;-36.4;4.855;5191;0
25;1;0;1;0;0;0;1;1;1;227;1;999;0;0;1.4;94.465;-41.8;4.962;5228.1;0
38;1;0;0;0;2;1;1;1;0;17;3;999;0;0;1.4;94.465;-41.8;4.959;5228.1;0
47;2;0;2;0;0;0;0;2;2;58;1;999;0;0;-0.1;93.2;-42;4.191;5195.8;0
32;1;1;2;0;1;0;0;3;3;128;3;999;2;1;-1.1;94.199;-37.5;0.884;4963.6;0
32;2;1;2;0;0;0;0;3;2;290;4;999;0;0;-1.1;94.199;-37.5;0.879;4963.6;0
41;3;0;2;1;0;0;0;2;2;44;2;999;0;0;-0.1;93.2;-42;4.191;5195.8;0
31;1;2;3;0;1;0;0;2;4;68;1;999;1;1;-0.1;93.2;-42;4.153;5195.8;0
35;0;0;0;1;1;0;1;0;3;170;1;999;0;0;1.1;93.994;-36.4;4.855;5191;0
25;1;1;4;1;0;0;0;4;3;301;1;999;0;0;1.4;93.918;-42.7;4.958;5228.1;0
36;4;1;5;0;1;0;0;4;3;148;1;999;0;0;1.4;93.918;-42.7;4.968;5228.1;0
36;2;0;1;0;1;0;1;0;1;97;2;999;0;0;1.1;93.994;-36.4;4.859;5191;0
47;0;0;5;0;0;0;1;1;3;211;2;999;0;0;1.4;94.465;-41.8;4.958;5228.1;0
29;2;1;1;0;1;0;0;0;0;553;2;999;0;0;-1.8;92.893;-46.2;1.313;5099.1;0
27;1;1;2;0;1;0;0;4;1;698;2;999;0;0;1.4;93.918;-42.7;4.963;5228.1;0
44;2;2;2;0;1;0;0;4;1;191;6;999;0;0;1.4;93.918;-42.7;4.957;5228.1;0
46;2;2;2;0;0;0;1;4;2;59;4;999;0;0;1.4;93.918;-42.7;4.962;5228.1;0
45;3;0;2;1;0;2;0;5;2;38;2;999;0;0;1.4;93.444;-36.1;4.965;5228.1;0
50;0;0;5;0;1;2;0;4;4;849;1;999;0;0;1.4;93.918;-42.7;4.961;5228.1;1
55;1;0;4;1;0;0;0;4;4;326;6;999;0;0;1.4;93.918;-42.7;4.962;5228.1;0
39;5;2;1;0;1;0;0;6;2;222;1;12;2;2;-1.8;93.369;-34.8;0.639;5008.7;1
29;5;1;2;0;0;2;0;5;1;626;3;999;0;0;1.4;93.444;-36.1;4.967;5228.1;0
40;6;0;1;0;1;2;0;5;1;119;1;999;0;0;1.4;93.444;-36.1;4.965;5228.1;0
44;5;0;3;1;0;0;1;0;0;388;7;999;0;0;1.1;93.994;-36.4;4.864;5191;0
38;5;0;3;0;0;0;0;5;2;479;1;999;0;0;1.4;93.444;-36.1;4.965;5228.1;1
36;5;2;3;0;1;0;1;0;1;446;1;999;0;0;1.1;93.994;-36.4;4.856;5191;0
28;0;0;4;1;1;0;0;0;2;68;2;999;1;1;-1.8;92.893;-46.2;1.299;5099.1;0
47;2;1;6;1;1;0;1;0;3;127;1;999;0;0;1.1;93.994;-36.4;4.86;5191;0
34;2;0;2;0;1;0;0;5;4;109;1;999;0;0;1.4;93.444;-36.1;4.963;5228.1;0
38;5;0;2;0;0;2;0;6;4;113;1;999;1;1;-1.8;92.843;-50;1.687;5099.1;0
33;1;0;1;1;0;0;1;1;2;393;3;999;0;0;1.4;94.465;-41.8;4.865;5228.1;0
51;5;1;2;0;1;0;0;1;0;151;2;999;0;0;-2.9;92.963;-40.8;1.268;5076.2;0
30;0;1;5;1;0;0;1;1;4;256;1;999;0;0;1.4;94.465;-41.8;4.864;5228.1;0
48;5;0;2;0;1;0;0;5;3;42;7;999;0;0;1.4;93.444;-36.1;4.962;5228.1;0
28;0;1;0;0;0;0;1;1;1;525;1;999;0;0;1.4;94.465;-41.8;4.864;5228.1;0
36;0;0;4;0;0;0;1;0;1;57;1;999;0;0;1.1;93.994;-36.4;4.859;5191;0
46;6;2;1;0;1;0;0;2;1;499;1;999;0;0;-0.1;93.2;-42;4.12;5195.8;0
31;5;1;6;0;0;0;0;0;1;84;1;999;1;1;-1.8;92.893;-46.2;1.334;5099.1;0
20;7;1;6;0;1;0;0;7;2;137;3;999;3;1;-1.1;94.601;-49.5;0.977;4963.6;0
35;1;0;1;1;0;0;0;0;4;31;1;999;0;0;-1.8;92.893;-46.2;1.344;5099.1;0
38;0;0;0;1;2;1;1;1;0;430;1;999;0;0;1.4;94.465;-41.8;4.967;5228.1;0
76;8;0;2;0;1;0;0;5;3;126;1;999;1;1;-1.7;94.027;-38.3;0.899;4991.6;0
45;3;2;3;0;0;0;0;4;4;211;3;999;0;0;1.4;93.918;-42.7;4.961;5228.1;0
32;9;0;5;0;0;2;0;0;0;340;1;999;0;0;-1.8;92.893;-46.2;1.313;5099.1;0
39;6;1;2;1;1;0;0;0;3;412;2;999;0;0;-1.8;92.893;-46.2;1.327;5099.1;0
32;2;0;2;0;1;0;1;2;3;132;1;999;0;0;-0.1;93.2;-42;4.592;5195.8;0
29;2;1;0;0;1;0;0;0;2;79;2;999;0;0;-1.8;92.893;-46.2;1.299;5099.1;0
44;1;0;3;0;1;0;0;5;2;341;2;999;0;0;1.4;93.444;-36.1;4.97;5228.1;0
32;1;0;1;0;1;2;0;4;0;157;3;999;0;0;1.4;93.918;-42.7;4.957;5228.1;0
56;8;0;2;0;0;0;0;1;1;252;1;999;2;1;-2.9;92.963;-40.8;1.26;5076.2;0
33;0;0;0;0;0;0;0;0;3;263;1;999;0;0;-1.8;92.893;-46.2;1.327;5099.1;0
39;6;0;1;0;1;0;0;5;0;215;3;999;0;0;1.4;93.444;-36.1;4.966;5228.1;0
24;5;0;2;0;0;2;0;3;4;89;2;3;1;2;-3.4;92.379;-29.8;0.77;5017.5;1
33;2;1;2;0;0;0;0;0;3;143;1;999;0;0;-1.8;92.893;-46.2;1.327;5099.1;0
58;3;2;2;0;1;0;1;1;3;40;2;999;0;0;1.4;94.465;-41.8;4.866;5228.1;0
29;2;1;2;0;0;0;1;1;0;10;27;999;0;0;1.4;94.465;-41.8;4.959;5228.1;0
31;2;0;2;0;0;0;0;5;3;113;1;999;0;0;1.4;93.444;-36.1;4.964;5228.1;0
27;2;0;2;0;1;0;1;0;1;191;5;999;0;0;1.1;93.994;-36.4;4.857;5191;0
60;2;2;3;0;0;0;0;3;1;481;1;999;1;1;-1.1;94.199;-37.5;0.886;4963.6;1
55;3;0;3;0;0;2;0;7;2;233;1;999;2;1;-3.4;92.431;-26.9;0.739;5017.5;0
37;0;0;0;0;0;0;0;0;1;204;2;999;0;0;-1.8;92.893;-46.2;1.334;5099.1;0
52;2;0;6;0;0;0;1;8;1;403;1;6;1;2;-1.8;93.749;-34.6;0.654;5008.7;1
46;1;0;1;0;0;0;0;8;2;180;1;999;0;0;-1.8;93.075;-47.1;1.405;5099.1;0
42;0;2;4;0;0;0;0;0;1;16;2;999;0;0;-1.8;92.893;-46.2;1.281;5099.1;0
35;2;1;2;0;0;0;0;4;2;447;3;999;0;0;1.4;93.918;-42.7;4.96;5228.1;0
49;5;2;6;0;0;2;0;7;3;81;1;999;0;0;-3.4;92.431;-26.9;0.754;5017.5;0
29;1;2;1;0;1;2;1;1;2;361;3;999;0;0;1.4;94.465;-41.8;4.865;5228.1;0
32;0;0;0;0;1;0;0;2;2;1091;2;5;1;2;-0.1;93.2;-42;4.191;5195.8;1
37;4;0;2;0;1;0;0;0;0;395;1;999;1;1;-1.8;92.893;-46.2;1.313;5099.1;0
39;5;1;3;1;1;0;1;1;2;432;4;999;0;0;1.4;94.465;-41.8;4.865;5228.1;1
51;1;0;1;1;0;0;1;4;2;596;3;999;0;0;1.4;93.918;-42.7;4.962;5228.1;1
28;2;1;1;0;0;0;0;0;4;59;3;999;0;0;-1.8;92.893;-46.2;1.291;5099.1;0
34;6;0;2;0;0;0;0;0;1;77;4;999;0;0;-1.8;92.893;-46.2;1.281;5099.1;0
31;5;1;1;0;0;2;0;5;4;768;1;999;0;0;1.4;93.444;-36.1;4.966;5228.1;1
31;2;0;2;0;0;0;0;5;3;96;5;999;0;0;1.4;93.444;-36.1;4.962;5228.1;0
31;2;1;2;0;0;0;1;1;1;357;2;999;0;0;1.4;94.465;-41.8;4.864;5228.1;0
38;4;1;2;0;1;0;1;0;3;459;2;999;0;0;1.1;93.994;-36.4;4.855;5191;0
33;10;0;0;0;1;0;1;1;0;11;6;999;0;0;1.4;94.465;-41.8;4.959;5228.1;0
32;5;1;2;0;1;0;0;5;4;264;12;999;0;0;1.4;93.444;-36.1;4.966;5228.1;0
54;5;0;3;1;0;0;0;8;2;698;1;999;0;0;-1.8;93.075;-47.1;1.405;5099.1;0
41;2;2;1;0;0;0;1;1;4;204;2;999;0;0;1.4;94.465;-41.8;4.961;5228.1;0
59;1;0;5;1;1;0;0;5;3;93;7;999;0;0;1.4;93.444;-36.1;4.963;5228.1;0
57;8;0;2;0;0;0;0;8;3;374;1;2;1;2;-1.8;93.075;-47.1;1.365;5099.1;0
38;3;2;2;0;0;0;0;2;3;252;1;999;0;0;-0.1;93.2;-42;4.076;5195.8;0
46;2;0;2;0;0;0;1;0;4;158;1;999;0;0;1.1;93.994;-36.4;4.857;5191;0
37;10;1;2;0;0;2;0;2;4;95;1;999;0;0;-0.1;93.2;-42;4.153;5195.8;0
47;1;1;0;0;2;1;1;1;3;835;3;999;0;0;1.4;94.465;-41.8;4.961;5228.1;1
45;2;1;2;0;1;0;0;5;3;505;1;999;0;0;1.4;93.444;-36.1;4.964;5228.1;1
36;0;0;4;0;0;0;1;4;1;16;1;999;0;0;1.4;93.918;-42.7;4.962;5228.1;0
40;10;1;1;0;0;0;0;4;2;300;5;999;0;0;1.4;93.918;-42.7;4.96;5228.1;0
38;0;0;0;0;1;0;0;2;4;180;2;999;1;1;-0.1;93.2;-42;4.153;5195.8;0
44;0;0;1;1;1;0;1;1;4;390;2;999;0;0;1.4;94.465;-41.8;4.961;5228.1;0
25;4;0;2;0;0;0;1;0;0;274;2;999;0;0;1.1;93.994;-36.4;4.857;5191;0
30;0;1;4;0;0;0;1;4;4;135;5;999;0;0;1.4;93.918;-42.7;4.961;5228.1;0
43;6;0;3;0;1;0;0;2;4;257;2;999;0;0;-0.1;93.2;-42;4.153;5195.8;0
58;8;0;4;1;1;0;1;0;2;268;3;999;0;0;1.1;93.994;-36.4;4.857;5191;0
31;5;0;3;0;0;0;1;0;1;157;6;999;0;0;1.1;93.994;-36.4;4.856;5191;0
53;6;0;2;0;1;0;0;4;4;477;2;999;0;0;1.4;93.918;-42.7;4.961;5228.1;0
52;2;0;6;0;1;0;0;5;4;91;1;999;0;0;1.4;93.444;-36.1;4.968;5228.1;0
37;6;0;2;1;1;2;0;8;0;76;1;999;1;1;-1.8;93.075;-47.1;1.405;5099.1;0
58;2;0;1;1;0;0;0;4;4;103;1;999;0;0;1.4;93.918;-42.7;4.961;5228.1;0
37;1;0;1;0;0;2;0;0;3;436;3;999;0;0;-1.8;92.893;-46.2;1.266;5099.1;0
38;2;1;6;0;0;0;0;0;0;191;1;999;0;0;-1.8;92.893;-46.2;1.313;5099.1;0
33;1;1;0;0;0;0;0;8;3;483;2;999;0;0;-1.8;93.075;-47.1;1.41;5099.1;0
45;1;0;1;1;0;0;0;0;0;250;1;999;0;0;-1.8;92.893;-46.2;1.25;5099.1;0
44;3;0;3;0;1;0;1;0;2;259;1;999;0;0;1.1;93.994;-36.4;4.858;5191;0
38;0;0;4;0;0;0;1;4;3;389;2;999;0;0;1.4;93.918;-42.7;4.966;5228.1;0
34;0;0;0;0;1;0;1;1;4;7;1;999;0;0;-1.7;94.055;-39.8;0.702;4991.6;0
47;6;0;2;0;0;0;0;4;1;123;1;999;0;0;-2.9;92.469;-33.6;1.029;5076.2;0
59;2;0;2;0;0;2;0;4;1;92;1;999;0;0;-2.9;92.469;-33.6;1.085;5076.2;0
51;0;0;5;1;0;2;0;5;3;297;2;999;0;0;1.4;93.444;-36.1;4.964;5228.1;0
31;0;0;4;0;0;0;1;1;1;406;2;999;0;0;1.4;94.465;-41.8;4.864;5228.1;0
56;6;0;2;0;0;2;0;2;1;104;1;999;1;1;-0.1;93.2;-42;4.12;5195.8;0
39;2;0;2;0;1;0;1;1;2;135;2;999;0;0;1.4;94.465;-41.8;4.961;5228.1;0
41;3;0;2;0;0;0;0;2;4;854;1;999;0;0;-0.1;93.2;-42;4.153;5195.8;1
41;6;2;4;0;0;0;0;2;3;147;1;999;0;0;-0.1;93.2;-42;4.076;5195.8;0
53;1;0;1;1;1;0;1;0;3;203;4;999;0;0;1.1;93.994;-36.4;4.86;5191;0
35;0;0;1;0;1;2;0;4;2;149;4;999;0;0;1.4;93.918;-42.7;4.962;5228.1;0
58;8;0;0;0;1;2;0;0;1;144;1;999;0;0;-1.8;92.893;-46.2;1.334;5099.1;0
25;4;0;3;0;0;0;1;1;1;394;2;999;0;0;1.4;94.465;-41.8;4.959;5228.1;0
35;0;2;0;0;0;0;0;0;4;523;1;999;1;1;-1.8;92.893;-46.2;1.344;5099.1;0
28;1;1;1;0;1;0;0;4;1;73;1;999;0;0;1.4;93.918;-42.7;4.963;5228.1;0
55;0;0;3;0;0;2;0;0;0;197;3;999;1;1;-1.8;92.893;-46.2;1.25;5099.1;0
54;3;0;5;1;1;2;1;0;3;108;1;999;0;0;1.1;93.994;-36.4;4.855;5191;0
45;5;2;0;1;1;0;0;4;1;80;2;999;0;0;1.4;93.918;-42.7;4.962;5228.1;0
32;0;0;0;0;0;0;0;8;3;114;1;999;1;1;-1.8;93.075;-47.1;1.41;5099.1;0
50;2;0;0;1;0;0;0;5;3;122;3;999;0;0;1.4;93.444;-36.1;4.963;5228.1;0
75;8;0;5;0;1;0;0;8;4;109;1;999;1;1;-1.8;93.075;-47.1;1.405;5099.1;1
33;4;2;6;0;1;0;1;0;1;1161;4;999;0;0;1.1;93.994;-36.4;4.858;5191;0
