job,Mapped Value
blue-collar,0
services,1
admin.,2
entrepreneur,3
self-employed,4
technician,5
management,6
student,7
retired,8
housemaid,9
unemployed,10
unknown,0

marital,Mapped Value
married,0
single,1
divorced,2
unknown,0

education,Mapped Value
basic.9y,0
high.school,1
university.degree,2
professional.course,3
basic.6y,4
basic.4y,5
illiterate,6
unknown,0

default,Mapped Value
no,0
yes,1
unknown,0

housing,Mapped Value
yes,0
no,1
unknown,0

loan,Mapped Value
no,0
yes,1
unknown,0

contact,Mapped Value
cellular,0
telephone,1

month,Mapped Value
may,0
jun,1
nov,2
sep,3
jul,4
aug,5
mar,6
oct,7
apr,8
dec,9

day_of_week,Mapped Value
fri,0
wed,1
mon,2
thu,3
tue,4

poutcome,Mapped Value
nonexistent,0
failure,1
success,2

y,Mapped Value
no,0
yes,1

