cap-shape,Mapped Value
x,0
b,1
s,2
f,3
k,4
c,5

cap-surface,Mapped Value
s,0
y,1
f,2
g,3

cap-color,Mapped Value
n,0
y,1
w,2
g,3
e,4
p,5
b,6
u,7
c,8
r,9

bruises,Mapped Value
t,0
f,1

odor,Mapped Value
p,0
a,1
l,2
n,3
f,4
c,5
y,6
s,7
m,8

gill-attachment,Mapped Value
f,0
a,1

gill-spacing,Mapped Value
c,0
w,1

gill-size,Mapped Value
n,0
b,1

gill-color,Mapped Value
k,0
n,1
g,2
p,3
w,4
h,5
u,6
e,7
b,8
r,9
y,10
o,11

stalk-shape,Mapped Value
e,0
t,1

stalk-root,Mapped Value
e,0
c,1
b,2
r,3
?,4

stalk-surface-above-ring,Mapped Value
s,0
f,1
k,2
y,3

stalk-surface-below-ring,Mapped Value
s,0
f,1
y,2
k,3

stalk-color-above-ring,Mapped Value
w,0
g,1
p,2
n,3
b,4
e,5
o,6
c,7
y,8

stalk-color-below-ring,Mapped Value
w,0
p,1
g,2
b,3
n,4
e,5
y,6
o,7
c,8

veil-type,Mapped Value
p,0

veil-color,Mapped Value
w,0
n,1
o,2
y,3

ring-number,Mapped Value
o,0
t,1
n,2

ring-type,Mapped Value
p,0
e,1
l,2
f,3
n,4

spore-print-color,Mapped Value
k,0
n,1
u,2
h,3
w,4
r,5
o,6
y,7
b,8

population,Mapped Value
s,0
n,1
a,2
v,3
y,4
c,5

habitat,Mapped Value
u,0
g,1
m,2
d,3
p,4
w,5
l,6

class,Mapped Value
p,0
e,1

